68053d2c	Sun tarina
77ab368e	seitsemäs luokka , Yläkoulun startti
7a915763	Uusi vaihe alkaa , ja se on jännittävää! Yläkoulussa kehität opiskelutaitoja, löydät omat vahvuutesi ja alat miettiä tulevaisuuttasi.
deaedffd	Tervetuloa yläkouluun
452b5346	Ensimmäinen oppitunti: orientaatio ja selviytymisopas
f9161938	Tunnin tavoitteet
88507686	Avaa ja katso, mitä tällä tunnilla tehdään
770f1cf2	Tavoitteet
a96a309c	Tiedät, mitä uusia oppiaineita seitsemäs luokalla on odottamassa
119d82b2	Tiedät, mikä oppilaanohjaus on ja keneltä saat apua
2d753bcc	Tiedät, mitä neljää selviytymiskeinoa yläkoulussa tarvitset
e155292f	Tunnistat, että jännittäminen uudessa tilanteessa on normaalia
855136d4	Olet tutustunut Roboon ja kirjoittanut ajatuksia itsellesi tulevaisuuteen
63842e33	Miksi tämä kannattaa?Siirtymä alakoulusta yläkouluun on tutkitusti yksi koulupolun herkimmistä vaiheista: hyvä alku vahvistaa kouluun kiinnittymistä, mikä ennustaa sekä oppimistuloksia että hyvinvointia koko yläkoulun ajan. Uusiin aineisiin ja oppilaanohjaukseen tutustuminen heti alussa antaa oppilaille kokonaiskuvan yläkoulusta , ja selviytymisoppaan neljä keinoa tarjoavat konkreettisen kehyksen koko yläkouluvuosille.
d460e7da	Yläkoulussa kehität opiskelutaitoja, löydät omat vahvuutesi ja alat miettiä tulevaisuuttasi.
199d2553	Kaikki on alussa vähän uutta , ja se kuuluu asiaan.
b72ec2e5	Et ole tässä yksin , kaikki muut ovat samassa tilanteessa.
1ccd2dcd	Lukujärjestys muuttuu , uusia aineita tulossa
a0509683	Yläkouluun siirtyminen tuo lukujärjestykseen uusia oppiaineita. Alakoulun ympäristöoppi jakautuu seitsemäs luokalla viideksi erilliseksi aineeksi: biologiaksi, maantiedoksi, fysiikaksi, kemiaksi ja terveystiedoksi.
baf281a9	Uudet aineet seitsemäs lk:lla
927bbc32	Kotitalous
3070ca77	uusi
edcb5e80	Terveystieto
fb953e14	Biologia ja maantieto
c0a3cc70	Fysiikka
24dcc7ce	Kemia
05417e1c	Oppilaanohjaus (opo)
4449214f	Jatkuvat aineet
6df132f1	Äidinkieli ja kirjallisuus
68620b5b	jatkuu
daaddfed	Matematiikka
dd0f631e	Kielet (A- ja B-kielet, ruotsi)
5afb3e20	Historia ja yhteiskuntaoppi
432d6e1b	Uskonto / Elämänkatsomustieto
07158fc3	Taito- ja taideaineet
66c98718	Lähteet: ePerusteet , Perusopetuksen OPS 2014
1e700130	Suurenna
a7177d84	Hei! Olen sinun verkkovalmentajasi. Minäkin aloitin alusta kerran…
d3b5b60a	Yläkoulun selviytymisopas
5058b562	Neljä keinoa selviytyä yläkoulun arjesta
aed17d45	Yksin
0e005c15	Interaktiivinen tarinatehtävä
71ad3b43	Robo saapuu yläkouluun
17b0e25e	Tutustuu Roboon ja tekoälyyn , ja kirjoita kirje itsellesi tulevaisuuteen. Mitä haaveilet? Mitä pelkäät? Mitä haluat muistaa?
